,1_0,1_1,1_2,1_3,1_4,1_5,1_6,1_7,2_0,2_1,2_2,2_3,2_4,2_5,2_6,2_7,3_0,3_1,3_2,3_3,3_4,3_5,3_6,3_7,Target
Cheez-150_814-right-3,-25.0,0.0,-26.0,0.0,-24.0,0.0,1.0,0.0,-1.0,19.0,0.0,23.0,-4.0,14.0,1.0,1.0,0.0,21.0,0.0,26.0,-6.0,14.0,1.0,1.0,Cheez
Cheez-150_814-right-4,-25.0,1.0,-25.0,0.0,-24.0,0.0,1.0,0.0,0.0,19.0,0.0,24.0,-4.0,14.0,5.0,1.0,0.0,22.0,0.0,25.0,-6.0,14.0,1.0,0.0,Cheez
Cheez-150_814-right-5,-24.0,0.0,-25.0,0.0,-24.0,0.0,1.0,0.0,0.0,18.0,-1.0,24.0,-4.0,14.0,1.0,1.0,0.0,20.0,-1.0,21.0,-5.0,14.0,1.0,0.0,Cheez
Cheez-150_814-right-6,-26.0,0.0,-22.0,0.0,-24.0,0.0,1.0,0.0,0.0,12.0,0.0,21.0,-3.0,15.0,1.0,1.0,1.0,14.0,0.0,22.0,-4.0,14.0,5.0,0.0,Cheez
Cheez-150_814-right-7,-24.0,0.0,-22.0,0.0,-25.0,0.0,5.0,1.0,-1.0,18.0,-1.0,24.0,-4.0,14.0,1.0,0.0,-1.0,21.0,-3.0,27.0,-5.0,15.0,1.0,0.0,Cheez
Cheez-150_814-right-8,-25.0,0.0,-21.0,0.0,-25.0,0.0,1.0,0.0,0.0,15.0,-1.0,23.0,-4.0,14.0,1.0,1.0,0.0,17.0,-4.0,29.0,-5.0,14.0,1.0,0.0,Cheez
Cheez-150_814-right-9,-24.0,0.0,-22.0,0.0,-25.0,0.0,1.0,1.0,-1.0,17.0,-1.0,21.0,-4.0,15.0,1.0,1.0,-1.0,19.0,0.0,24.0,-7.0,16.0,1.0,0.0,Cheez
Cheez-150_814-top-0,-19.0,0.0,-20.0,0.0,-24.0,0.0,2.0,0.0,0.0,6.0,0.0,11.0,-1.0,17.0,0.0,2.0,4.0,43.0,3.0,38.0,3.0,80.0,1.0,0.0,Cheez
Cheez-150_814-top-1,-20.0,0.0,-22.0,0.0,-24.0,0.0,2.0,0.0,-1.0,20.0,-1.0,20.0,-3.0,14.0,1.0,0.0,4.0,64.0,3.0,36.0,3.0,86.0,1.0,0.0,Cheez
Cheez-150_814-top-2,-18.0,0.0,-18.0,0.0,-24.0,0.0,1.0,0.0,-2.0,19.0,-1.0,23.0,-4.0,16.0,1.0,0.0,3.0,72.0,3.0,15.0,3.0,82.0,1.0,0.0,Cheez
Cheez-150_814-top-3,-23.0,0.0,-22.0,0.0,-24.0,0.0,1.0,1.0,-2.0,22.0,-1.0,23.0,-4.0,15.0,1.0,0.0,4.0,47.0,3.0,35.0,3.0,67.0,1.0,0.0,Cheez
